SEKRETARIAT JENDERAL                                                                                                                                                                                    ;Biro Hukum;Biro SDM;Biro Keuangan;Biro Perencanaan;Biro Umum;Biro Kerjasama;Pusdatin;LPMUKP;Total
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;;27162889000;;;;;;27162889000;
5122  Belanja Lembur                                                                                           ;;52030000;;;;;;52030000;
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;19715622000;;;;;;19715622000;
5211  Belanja Barang Operasional                                                                               ;825767000;5254021000;2131020000;1658410000;776325000;1539955000;179091000;12364589000;
5212  Belanja Barang Non Operasional                                                                           ;11614818000;7560224000;6084580000;19152977000;8859460000;10754417000;116781000;64143257000;
5218  Belanja Barang Persediaan                                                                                ;102000000;1680551000;60000000;199713000;87600000;1444453000;28027000;3602344000;
5221  Belanja Jasa                                                                                             ;26076248000;15141798000;5247060000;2259100000;9295445000;12181397000;21900000;70222948000;
5231  Belanja Pemeliharaan                                                                                     ;29000000;8732222000;1006620000;339000000;336120000;589444000;45998000;11078404000;
5241  Belanja Perjalanan Dalam Negeri                                                                          ;1334000000;26177136000;18994835000;40233874000;13887232000;24696119000;487052000;125810248000;
5242  Belanja Perjalanan Luar Negeri                                                                           ;1010000000;914000000;416976000;40000000;;;;2380976000;
5261  Belanja Barang untuk diserahkan kepada masyarakat/Pemda                                                  ;12252167000;275000000;114163164000;486173314000;92650101000;62508656000;;768022402000;
5263  Belanja Barang Lainnya untuk diserahkan kepada masyarakat/Pemda                                          ;0;;;4340300000;;203181000000;;207521300000;
5321  Belanja Modal Peralatan dan Mesin                                                                        ;86000000;1133500000;853309000;89061968000;90000000;1018800000;;92243577000;
5331  Belanja Modal Gedung dan Bangunan                                                                        ;;;27560000000;;;;;27560000000;
5361  Belanja Modal Fisik Lainnya                                                                              ;;;70218675000;;;4050000000;;74268675000;
;;;;;;;;;
DITJEN PERIKANAN BUDIDAYA                                                                                                                                                                               ;DIREKTORAT KAWASAN DAN KESEHATAN IKAN                                                                                                                                                                   ; DIREKTORAT PERBENIHAN                                                                                                                                                                                   ;DIREKTORAT PRODUKSI DAN USAHA                                                                                                                                                ;DIREKTORAT KESEHATAN IKAN DAN LINGKUNGAN                                                                                                                             ;DIREKTORAT PAKAN DAN OBAT IKAN                                                                                                                                                                          ; SETDITJEN PERIKANAN BUDIDAYA                                                                                                                                                                            ;Total;;
5111  Belanja Gaji dan Tunjangan PNS                                                                           ;;;;;;33156321000;33156321000;;
5124  Belanja Tunj. Khusus & Belanja Pegawai Transito                                                          ;;;;;;18065432000;18065432000;;
5211  Belanja Barang Operasional                                                                               ;351120000;354660000;336300000;81181000;598500000;2993900000;4715661000;;
5212  Belanja Barang Non Operasional                                                                           ;2352698000;5989636000;3256347000;107900000;11145326000;2679379000;25531286000;;
5218  Belanja Barang Persediaan                                                                                ;188400000;173184000;144000000;20000000;186000000;480000000;1191584000;;
5221  Belanja Jasa                                                                                             ;18723947000;3290400000;2629405000;12600000;3817761000;2384632000;30858745000;;
5231  Belanja Pemeliharaan                                                                                     ;;;1317605000;;;3280010000;4597615000;;
5241  Belanja Perjalanan Dalam Negeri                                                                          ;7897278000;6196380000;8687470000;106494000;4264751000;7885274000;35037647000;;
5242  Belanja Perjalanan Luar Negeri                                                                           ;;;;;;1000000000;1000000000;;
