kedeputian;direktorat;belanja;anggaran
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pelatihan Pertanian;Belanja Barang Operasional;26696591
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pelatihan Pertanian;Belanja Barang Non Operasional;106520534
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pelatihan Pertanian;Belanja Modal Non Operasional;16002830
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pertanian;Belanja Barang Non Operasional;525706024
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Sekretariat Badan;Belanja Pegawai;23058353
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Sekretariat Badan;Belanja Barang Operasional;4719479
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Sekretariat Badan;Belanja Barang Non Operasional;79128618
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Sekretariat Badan;Belanja Modal Non Operasional;2259054
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pendidikan Pertanian;Belanja Pegawai;66926230
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pendidikan Pertanian;Belanja Barang Operasional;31016118
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pendidikan Pertanian;Belanja Barang Non Operasional;220821560
Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian;Kepala Pusat Pendidikan Pertanian;Belanja Modal Non Operasional;87686092
Badan Ketahanan Pangan;Kepala Pusat Distribusi dan Stabilitas Harga Pangan;Belanja Barang Non Operasional;182809600
Badan Ketahanan Pangan;Kepala Pusat Distribusi dan Stabilitas Harga Pangan;Belanja Modal Non Operasional;465000
Badan Ketahanan Pangan;Kepala Pusat Ketersediaan dan Penanganan Rawan Pangan;Belanja Barang Non Operasional;90175900
Badan Ketahanan Pangan;Kepala Pusat Ketersediaan dan Penanganan Rawan Pangan;Belanja Modal Non Operasional;165500
Badan Ketahanan Pangan;Kepala Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Barang Non Operasional;174617500
Badan Ketahanan Pangan;Kepala Pusat Penganekaragaman Konsumsi dan Keamanan Pangan;Belanja Modal Non Operasional;90000
Badan Ketahanan Pangan;Sekretariat Badan;Belanja Pegawai;23695850
Badan Ketahanan Pangan;Sekretariat Badan;Belanja Barang Operasional;11488050
Badan Ketahanan Pangan;Sekretariat Badan;Belanja Barang Non Operasional;42325100
Badan Ketahanan Pangan;Sekretariat Badan;Belanja Modal Non Operasional;1779500
Badan Karantina Pertanian;Kepala Pusat Kepatuhan, Kerja Sama dan Pengembangan Sistem Informasi Perkarantinaan;Belanja Barang Non Operasional;7384340
Badan Karantina Pertanian;Kepala Pusat Kepatuhan, Kerja Sama dan Pengembangan Sistem Informasi Perkarantinaan;Belanja Modal Non Operasional;200000
Badan Karantina Pertanian;Kepala Pusat Karantina Hewan dan Keamanan Hayati Hewani;Belanja Barang Non Operasional;7303440
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;Belanja Barang Non Operasional;8000000
Badan Karantina Pertanian;Sekretariat Badan;Belanja Pegawai;15398724
Badan Karantina Pertanian;Sekretariat Badan;Belanja Barang Operasional;16923985
Badan Karantina Pertanian;Sekretariat Badan;Belanja Barang Non Operasional;40085694
Badan Karantina Pertanian;Sekretariat Badan;Belanja Modal Non Operasional;709608
Badan Karantina Pertanian;Balai Besar;Belanja Pegawai;8775492
Badan Karantina Pertanian;Balai Besar;Belanja Barang Operasional;9743865
Badan Karantina Pertanian;Balai Besar;Belanja Barang Non Operasional;16093487
Badan Karantina Pertanian;Balai Besar;Belanja Modal Non Operasional;1414863
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;Belanja Pegawai;229791993
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;Belanja Barang Operasional;158579725
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;Belanja Barang Non Operasional;116656399
Badan Karantina Pertanian;Kepala Pusat Karantina Tumbuhan dan Keamanan Hayati Nabati;Belanja Modal Non Operasional;136123375
